Body Name,Auditor,Body type
Halton Borough Council,Grant Thornton UK LLP,Unitary Authority
Herefordshire Council,Grant Thornton UK LLP,Unitary Authority
Luton Borough Council,Grant Thornton UK LLP,Unitary Authority
North Somerset Council,Grant Thornton UK LLP,Unitary Authority
Plymouth City Council,Grant Thornton UK LLP,Unitary Authority
Shropshire Council,Grant Thornton UK LLP,Unitary Authority
South Gloucestershire Council,Grant Thornton UK LLP,Unitary Authority
Stoke on Trent City Council,Grant Thornton UK LLP,Unitary Authority
Swindon Borough Council,Grant Thornton UK LLP,Unitary Authority
Torbay Council,Grant Thornton UK LLP,Unitary Authority
Warrington Borough Council,Grant Thornton UK LLP,Unitary Authority
Derbyshire County Council,KPMG LLP,County Council
Dorset County Council,KPMG LLP,County Council
Lincolnshire County Council,KPMG LLP,County Council
Northamptonshire County Council,KPMG LLP,County Council
Nottinghamshire County Council,KPMG LLP,County Council
Amber Valley Borough Council,KPMG LLP,District Council
Ashfield District Council,KPMG LLP,District Council
Bassetlaw District Council,KPMG LLP,District Council
Bolsover District Council,KPMG LLP,District Council
Boston Borough Council,KPMG LLP,District Council
Broxtowe Borough Council,KPMG LLP,District Council
Charnwood Borough Council,KPMG LLP,District Council
Chesterfield Borough Council,KPMG LLP,District Council
City of Lincoln Council,KPMG LLP,District Council
Corby Borough Council,KPMG LLP,District Council
Daventry District Council,KPMG LLP,District Council
Derbyshire Dales District Council,KPMG LLP,District Council
East Lindsey District Council,KPMG LLP,District Council
East Northamptonshire Council,KPMG LLP,District Council
Fylde Borough Council,KPMG LLP,District Council
Gedling Borough Council,KPMG LLP,District Council
Gloucester City Council,KPMG LLP,District Council
Harborough District Council,KPMG LLP,District Council
Kettering Borough Council,KPMG LLP,District Council
Lancaster City Council,KPMG LLP,District Council
Mansfield District Council,KPMG LLP,District Council
Newark and Sherwood District Council,KPMG LLP,District Council
North East Derbyshire District Council,KPMG LLP,District Council
North Kesteven District Council,KPMG LLP,District Council
North West Leicestershire District Council,KPMG LLP,District Council
Northampton Borough Council,KPMG LLP,District Council
Oadby and Wigston Borough Council,KPMG LLP,District Council
Reigate and Banstead Borough Council,KPMG LLP,District Council
Runnymede Borough Council,KPMG LLP,District Council
Rushcliffe Borough Council,KPMG LLP,District Council
South Holland District Council,KPMG LLP,District Council
South Kesteven District Council,KPMG LLP,District Council
Spelthorne Borough Council,KPMG LLP,District Council
Stroud District Council,KPMG LLP,District Council
Surrey Heath Borough Council,KPMG LLP,District Council
Tandridge District Council,KPMG LLP,District Council
Wellingborough Borough Council,KPMG LLP,District Council
West Dorset District Council,KPMG LLP,District Council
West Lindsey District Council,KPMG LLP,District Council
Weymouth and Portland Borough Council,KPMG LLP,District Council
Woking Borough Council,KPMG LLP,District Council
Wyre Borough Council,KPMG LLP,District Council
Brent London Borough Council,KPMG LLP,London Borough Council
City of Westminster Council,KPMG LLP,London Borough Council
Hounslow London Borough Council,KPMG LLP,London Borough Council
Islington London Borough Council,KPMG LLP,London Borough Council
London Borough of Barking and Dagenham,KPMG LLP,London Borough Council
London Borough of Camden Council,KPMG LLP,London Borough Council
London Borough of Ealing,KPMG LLP,London Borough Council
London Borough of Hackney,KPMG LLP,London Borough Council
London Borough of Hammersmith and Fulham,KPMG LLP,London Borough Council
